Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
สถาบันผู้นำเครือเจริญโภคภัณฑ์ (***สถานีนี้เปิดให้บริการภายในเฉพาะสถาบันฯเท่านั้น***),"Name-EN: CP LEADERSHIP INSTITUE (***Only for CPLI internal use***)<br>Power: <br>Description: 4x CCS2, 2x Type2<br>Address: 999 หนองน้ำแดง อำเภอปากช่อง นครราชสีมา 30450<br>Latitude: 14.59010141148864<br>Longitude: 101.3678877172<br>Provider: Altervim",#icon-1899-DB4436-labelson,CP LEADERSHIP INSTITUE (***Only for CPLI internal use***),,"4x CCS2, 2x Type2",999 หนองน้ำแดง อำเภอปากช่อง นครราชสีมา 30450,14.59010141148864,101.3678877172,Altervim,"
            101.3678877172,14.5901014114886,0
          "
โลตัส ปิ่นเกล้า,"Name-EN: Lotus’s Pinklao<br>Power: 160 kW<br>Description: 2x CCS2: 160 kW, Type2: 11 kW<br>Address: 3 ถนน บรมราชชนนี แขวง อรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700<br>Latitude: 13.77654108831116<br>Longitude: 100.4784296423898<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus’s Pinklao,160 kW,"2x CCS2: 160 kW, Type2: 11 kW",3 ถนน บรมราชชนนี แขวง อรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,13.77654108831116,100.4784296423898,Altervim,"
            100.47842964239,13.7765410883112,0
          "
โลตัส สุขาภิบาล 1,"Name-EN: Lotus's Sukhapiban 1<br>Power: 160 kW<br>Description: 2x CCS2: 160 kW, Type2: 11 kW<br>Address: 629 799 ถนน นวมินทร์ แขวง นวลจันทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230<br>Latitude: 13.8248563<br>Longitude: 100.6588743<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Sukhapiban 1,160 kW,"2x CCS2: 160 kW, Type2: 11 kW",629 799 ถนน นวมินทร์ แขวง นวลจันทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230,13.8248563,100.6588743,Altervim,"
            100.6588743,13.8248563,0
          "
โลตัส บางนา-ตราด,"Name-EN: Lotus's Bang Na-Trat<br>Power: <br>Description: 4x CCS2, 2x Type2<br>Address: 14/9 หมู่ที่ 13 ถ. เทพรัตน ตำบล บางแก้ว อำเภอบางพลี สมุทรปราการ 10540<br>Latitude: 13.6528607<br>Longitude: 100.6781882<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Bang Na-Trat,,"4x CCS2, 2x Type2",14/9 หมู่ที่ 13 ถ. เทพรัตน ตำบล บางแก้ว อำเภอบางพลี สมุทรปราการ 10540,13.6528607,100.6781882,Altervim,"
            100.6781882,13.6528607,0
          "
โลตัส นอร์ธ ราชพฤกษ์,"Name-EN: Lotus's North Ratchapruek<br>Power: 150 kW<br>Description: 4x CCS2: 150 kW (1000V 200A), 2x Type2: 11 kW<br>Address: ถนนราชพฤกษ์, ตำบลอ้อมเกร็ด อำเภอปากเกร็ด นนทบุรี 11120<br>Latitude: 13.91254330746163<br>Longitude: 100.4514313531822<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's North Ratchapruek,150 kW,"4x CCS2: 150 kW (1000V 200A), 2x Type2: 11 kW","ถนนราชพฤกษ์, ตำบลอ้อมเกร็ด อำเภอปากเกร็ด นนทบุรี 11120",13.91254330746163,100.4514313531822,Altervim,"
            100.451431353182,13.9125433074616,0
          "
โลตัส อ่างทอง,"Name-EN: Lotus's Ang Thong<br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, Type2: 11 kW<br>Address: เลขที่ 73 ถ.เลี่ยงเมือง ต.โพสะ อ.เมืองอ่างทอง จ.อ่างทอง 14000<br>Latitude: 14.580418<br>Longitude: 100.460229<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Ang Thong,60 kW,"2x CCS2: 60 kW, Type2: 11 kW",เลขที่ 73 ถ.เลี่ยงเมือง ต.โพสะ อ.เมืองอ่างทอง จ.อ่างทอง 14000,14.580418,100.460229,Altervim,"
            100.460229,14.580418,0
          "
โลตัส โรจนะ,"Name-EN: Lotus's Rojana<br>Power: 150 kW<br>Description: 2x CCS2: 150 kW (1000V 200A), Type2: 11 kW<br>Address: เลขที่ 101 ม. 3 ต.สามเรือน อ.บางปะอิน จ.พระนครศรีอยุธยา 13160<br>Latitude: 14.31121104093369<br>Longitude: 100.6453425<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Rojana,150 kW,"2x CCS2: 150 kW (1000V 200A), Type2: 11 kW",เลขที่ 101 ม. 3 ต.สามเรือน อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,14.31121104093369,100.6453425,Altervim,"
            100.6453425,14.3112110409337,0
          "
โลตัส บางปะอิน,"Name-EN: Lotus Bang Pa-in<br>Power: 150 kW<br>Description: 2x CCS2: 150 kW (1000V 200A), Type2: 11 kW<br>Address: 88 ม.9 ต.เชียงรากน้อย อ.บางปะอิน จ.พระนครศรีอยุธยา 13180<br>Latitude: 14.18873<br>Longitude: 100.60944<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus Bang Pa-in,150 kW,"2x CCS2: 150 kW (1000V 200A), Type2: 11 kW",88 ม.9 ต.เชียงรากน้อย อ.บางปะอิน จ.พระนครศรีอยุธยา 13180,14.18873,100.60944,Altervim,"
            100.60944,14.18873,0
          "
โลตัส สุขุมวิท50,"Name-EN: Lotus's Sukhumvit 50<br>Power: 150 kW<br>Description: 2x CCS2: 150 kW (1000V 200A), Type2: 11 kW<br>Address: เลขที่ 1710 ถ.สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กทม. 10110<br>Latitude: 13.70524516043091<br>Longitude: 100.6004240059956<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Sukhumvit 50,150 kW,"2x CCS2: 150 kW (1000V 200A), Type2: 11 kW",เลขที่ 1710 ถ.สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กทม. 10110,13.70524516043091,100.6004240059956,Altervim,"
            100.600424005996,13.7052451604309,0
          "
โลตัส บางกะปิ,"Name-EN: Lotus's Bangkapi<br>Power: 150 kW<br>Description: 2x CCS2: 150 kW (1000V 200A), Type2: 11 kW<br>Address: 3109 ถ. ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240<br>Latitude: 13.7692901386824<br>Longitude: 100.644905448156<br>Provider: Altervim",#icon-1899-DB4436-labelson,Lotus's Bangkapi,150 kW,"2x CCS2: 150 kW (1000V 200A), Type2: 11 kW",3109 ถ. ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,13.7692901386824,100.644905448156,Altervim,"
            100.644905448156,13.7692901386824,0
          "
