Name,Description,styleUrl,Hours,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
7-11 สีตบุตร,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: รองเมือง, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.742579<br>Longitude: 100.521029<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 118 kW, 200A
Type2: CLOSED
Parking","รองเมือง, ปทุมวัน, กรุงเทพมหานคร",13.742579,100.521029,EA,"
            100.521029,13.742579,0
          "
ZY Walk,"Hours: 24 Hr<br>Power: 0 kW<br>Description: Type2: CLOSED<br>CCS2: CLOSED<br>parking<br>Address: วังใหม่, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.741238<br>Longitude: 100.524702<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,0 kW,"Type2: CLOSED
CCS2: CLOSED
parking","วังใหม่, ปทุมวัน, กรุงเทพมหานคร",13.741238,100.524702,EA,"
            100.524702,13.741238,0
          "
แมกโนเลียส์ วอเตอร์ฟรอนซ์ เรสซิเดนซ์,"Hours: 24 Hr<br>Power: 35 kW<br>Description: CCS2: 35 kW<br>Type2: 22 kW<br>Parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.727306<br>Longitude: 100.510499<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,35 kW,"CCS2: 35 kW
Type2: 22 kW
Parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.727306,100.510499,EA,"
            100.510499,13.727306,0
          "
ICONSIAM (B1 Zone Gold),"Hours: Peak<br>Power: 38 kW<br>Description: Type1: 11 kW<br>Type2: 7x 11 kW<br>CCS2: 38 kW, CLOSED<br>Parking  B1<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.726441<br>Longitude: 100.510086<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,38 kW,"Type1: 11 kW
Type2: 7x 11 kW
CCS2: 38 kW, CLOSED
Parking  B1","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.726441,100.510086,EA,"
            100.510086,13.726441,0
          "
THE RIVER เจริญนคร,"Hours: 24 Hr<br>Power: 22 kW<br>Description: Type2: 22 kW<br>CCS2: CLOSED<br>parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.721553<br>Longitude: 100.510305<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,22 kW,"Type2: 22 kW
CCS2: CLOSED
parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.721553,100.510305,EA,"
            100.510305,13.721553,0
          "
ร้านอาหารครัวในซอย ซ.จรํญสนิทวงค์ 75,"Hours: Peak<br>Power: 150 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 150 kW, 200A<br>parking  ครัวในซอย<br>Address: บางพลัด, บางพลัด, กรุงเทพมหานคร<br>Latitude: 13.790473<br>Longitude: 100.490014<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,150 kW,"Type2: 22 kW
CCS2: 2x 150 kW, 200A
parking  ครัวในซอย","บางพลัด, บางพลัด, กรุงเทพมหานคร",13.790473,100.490014,EA,"
            100.490014,13.790473,0
          "
อาคารจอดรถ จามจุรีสแควร์ ชั้น 7,"Hours: 24 Hr<br>Power: 40 kW<br>Description: Type1: 22 kW, CLOSED<br>Type2: 2x 22 kW<br>CCS2: 40 kW<br>Parking<br>Address: ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.73299<br>Longitude: 100.530401<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,40 kW,"Type1: 22 kW, CLOSED
Type2: 2x 22 kW
CCS2: 40 kW
Parking","ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร",13.73299,100.530401,EA,"
            100.530401,13.73299,0
          "
ศูนย์การค้า SENA Fest ถ.เจริญนคร,"Hours: 24 Hr<br>Power: 22 kW<br>Description: Type1: 22 kW<br>Type2: 22 kW<br>CCS2: CLOSED<br>Parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.719416<br>Longitude: 100.507575<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,22 kW,"Type1: 22 kW
Type2: 22 kW
CCS2: CLOSED
Parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.719416,100.507575,EA,"
            100.507575,13.719416,0
          "
ศูนย์การแพทย์วิชัยยุทธ,"Hours: 24 Hr<br>Power: 40 kW<br>Description: CCS2: 40 kW<br>Parking<br>Address: สามเสนใน, พญาไท, กรุงเทพมหานคร<br>Latitude: 13.780432<br>Longitude: 100.5331<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,40 kW,"CCS2: 40 kW
Parking","สามเสนใน, พญาไท, กรุงเทพมหานคร",13.780432,100.5331,EA,"
            100.5331,13.780432,0
          "
ริทึ่ม สาทร,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ยานนาวา, สาทร, กรุงเทพมหานคร<br>Latitude: 13.717813<br>Longitude: 100.516818<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","ยานนาวา, สาทร, กรุงเทพมหานคร",13.717813,100.516818,EA,"
            100.516818,13.717813,0
          "
อาคาร อาคเนย์ประกันภัย จำกัด,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW<br>Type2: 22 kW<br>Parking<br>Address: บางรัก, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.727318<br>Longitude: 100.532229<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW
Type2: 22 kW
Parking","บางรัก, บางรัก, กรุงเทพมหานคร",13.727318,100.532229,EA,"
            100.532229,13.727318,0
          "
ซัสโก้ สาขาบางบำหรุ,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางบำหรุ, บางพลัด, กรุงเทพมหานคร<br>Latitude: 13.785289<br>Longitude: 100.47129<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางบำหรุ, บางพลัด, กรุงเทพมหานคร",13.785289,100.47129,EA,"
            100.47129,13.785289,0
          "
SCB สาขาตลาดพลู,"Hours: Peak<br>Power: 110 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 110 kW, 200A<br>PARKING  SCB<br>Address: ตลาดพลู, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.720621<br>Longitude: 100.475762<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,110 kW,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
PARKING  SCB","ตลาดพลู, ธนบุรี, กรุงเทพมหานคร",13.720621,100.475762,EA,"
            100.475762,13.720621,0
          "
เอ็มไพร์ทาวเวอร์ (อาคารจอดรถชั้น B1),"Hours: Peak<br>Power: 40 kW<br>Description: CCS2: 2x 40 kW<br>Type2: 22 kW<br>Parking<br>Address: ยานนาวา, สาทร, กรุงเทพมหานคร<br>Latitude: 13.720536<br>Longitude: 100.530224<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,40 kW,"CCS2: 2x 40 kW
Type2: 22 kW
Parking","ยานนาวา, สาทร, กรุงเทพมหานคร",13.720536,100.530224,EA,"
            100.530224,13.720536,0
          "
Condo ศุภาลัยริเวอร์ เพลส (ถ.เจริญนคร),"Hours: 24 Hr<br>Power: 90 kW<br>Description: Type2: 22 kW<br>CCS2: 90 kW, 200A<br>Parking<br>Address: บางลำภูล่าง, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.710567<br>Longitude: 100.502822<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,90 kW,"Type2: 22 kW
CCS2: 90 kW, 200A
Parking","บางลำภูล่าง, คลองสาน, กรุงเทพมหานคร",13.710567,100.502822,EA,"
            100.502822,13.710567,0
          "
กรมขนส่งทหารบก ขส.ทบ. (ลานเอนกประสงค์),"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW, CLOSED<br>Parking<br>Address: ถนนนครไชยศรี, ดุสิต, กรุงเทพมหานคร<br>Latitude: 13.792595<br>Longitude: 100.531156<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW, CLOSED
Parking","ถนนนครไชยศรี, ดุสิต, กรุงเทพมหานคร",13.792595,100.531156,EA,"
            100.531156,13.792595,0
          "
โครนอส ทาวเวอร์ ชั้น จี สเตชั่น1,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW<br>Type2: CLOSED<br>Parking<br>Address: สีลม, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.725044<br>Longitude: 100.538724<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW
Type2: CLOSED
Parking","สีลม, บางรัก, กรุงเทพมหานคร",13.725044,100.538724,EA,"
            100.538724,13.725044,0
          "
โครนอส ทาวเวอร์ ชั้น 2 สเตชั่น 2-1,"Hours: 24 Hr<br>Power: 11 kW<br>Description: Type2: 5x 11 kW<br>CCS2: CLOSED<br>Parking<br>Address: สีลม, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.72482<br>Longitude: 100.538481<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,11 kW,"Type2: 5x 11 kW
CCS2: CLOSED
Parking","สีลม, บางรัก, กรุงเทพมหานคร",13.72482,100.538481,EA,"
            100.538481,13.72482,0
          "
เอสโซ่ ปิ่นเกล้า,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.784968<br>Longitude: 100.461259<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.784968,100.461259,EA,"
            100.461259,13.784968,0
          "
คาลเท็กซ์ เพชรพระเทพ,"Hours: 24 Hr<br>Power: 102 kW<br>Description: CCS2: 103 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางพรม, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.752084<br>Longitude: 100.448974<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,102 kW,"CCS2: 103 kW, 200A
Type2: CLOSED
Parking","บางพรม, ตลิ่งชัน, กรุงเทพมหานคร",13.752084,100.448974,EA,"
            100.448974,13.752084,0
          "
E-Bus พระราม 3-บุคคโล (Station1),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 6x 150 kW, 200A<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.703416<br>Longitude: 100.489631<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 6x 150 kW, 200A
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.703416,100.489631,EA,"
            100.489631,13.703416,0
          "
E-Bus พระราม 3-บุคคโล (Station2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 4x 150 kW, 200A<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.703416<br>Longitude: 100.489631<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 4x 150 kW, 200A
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.703416,100.489631,EA,"
            100.489631,13.703416,0
          "
