Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Hours,Dealership,Address,Latitude,Longitude,Provider,Coordinates
ปตท บจ.ปฐมวิวัฒน์ 2018,Name-EN: PTT Pathomwiwat 2018<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 32/3 ม.2 ต.เจดีย์หัก อ.เมืองราชบุรี จ.ราชบุรี 70000<br>Latitude: 13.544778<br>Longitude: 99.804667<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Pathomwiwat 2018,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,32/3 ม.2 ต.เจดีย์หัก อ.เมืองราชบุรี จ.ราชบุรี 70000,13.544778,99.804667,PTT,"
            99.804667,13.544778,0
          "
ปตท สิชล,Name-EN: PTT Sichon<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 40 ม.9 ต.สิชล อ.สิชล นครศรีธรรมราช 80120<br>Latitude: 9.003393696<br>Longitude: 99.8816567<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Sichon,120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,40 ม.9 ต.สิชล อ.สิชล นครศรีธรรมราช 80120,9.003393696,99.8816567,PTT,"
            99.8816567,9.003393696,0
          "
ปตท บจ.พงษ์กิต  2 (หัวทะเล),"Name-EN: PTT Pongkit Co., Ltd. Branch 2 (Hua Talay)<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)<br>Address: สาขา 2 133 ม.1 ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา นครราชสีมา 30000<br>Latitude: 14.9389399815351<br>Longitude: 102.132905062155<br>Provider: PTT",#icon-1899-DB4436-labelson,"PTT Pongkit Co., Ltd. Branch 2 (Hua Talay)",120 kW,"ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)",,,สาขา 2 133 ม.1 ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา นครราชสีมา 30000,14.9389399815351,102.132905062155,PTT,"
            102.132905062155,14.9389399815351,0
          "
โรบินสัน สไตล์ สมุทรปราการ,"Name-EN: Robinson Lifestyle Samut Prakan<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 789 หมู่ 2 ถนนสุขุมวิท ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280<br>Latitude: 13.5838097086702<br>Longitude: 100.609540438793<br>Provider: PTT",#icon-1899-DB4436-labelson,Robinson Lifestyle Samut Prakan,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,789 หมู่ 2 ถนนสุขุมวิท ตำบลท้ายบ้านใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280,13.5838097086702,100.609540438793,PTT,"
            100.609540438793,13.5838097086702,0
          "
ปตท กนิษฐาพาณิชย์,Name-EN: PTT NGV Station Kanittha Panich<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 160/6 หมู่ที่ 2 ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000<br>Latitude: 13.8503351<br>Longitude: 100.4906831<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT NGV Station Kanittha Panich,120 kW,"ChargeCore CCSx2: 2x CCS2 (1000V 200A)
ChargeCore CCSx2: 2x CCS2 (1000V 200A)",,,160/6 หมู่ที่ 2 ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,13.8503351,100.4906831,PTT,"
            100.4906831,13.8503351,0
          "
ปตท บจ.พงษ์กิต  7 (บายพาส),Name-EN: PTT Pongkit Branch 7 (Bypass)<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: สาขา 7 325 ม.1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา นครราชสีมา 30000<br>Latitude: 14.98612444<br>Longitude: 102.0521814<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Pongkit Branch 7 (Bypass),120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,สาขา 7 325 ม.1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา นครราชสีมา 30000,14.98612444,102.0521814,PTT,"
            102.0521814,14.98612444,0
          "
สเตจ ฟายด์ เดอะ เรียล ยู,"Name-EN: Stage Find The Real U<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 95 ซอยโยธินพัฒนา 11 แยก 7 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240<br>Latitude: 13.8058387133648<br>Longitude: 100.624720496889<br>Provider: PTT",#icon-1899-DB4436-labelson,Stage Find The Real U,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,95 ซอยโยธินพัฒนา 11 แยก 7 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,13.8058387133648,100.624720496889,PTT,"
            100.624720496889,13.8058387133648,0
          "
โรงพยาบาลปิยะเวท,"Name-EN: Piyavate Hospital<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 998 ถนนริมคลองสามเสน (พระราม 9) แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310<br>Latitude: 13.7535593509643<br>Longitude: 100.580170527204<br>Provider: PTT",#icon-1899-DB4436-labelson,Piyavate Hospital,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,998 ถนนริมคลองสามเสน (พระราม 9) แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,13.7535593509643,100.580170527204,PTT,"
            100.580170527204,13.7535593509643,0
          "
ปตท ราษฎร์บูรณะ ขาออก,Name-EN: PTT Rat Burana (OB)<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>IOCharger IOCAW05C 7kW: Type 2<br>Address: 193/2 ถ.ราษฎร์บูรณะ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140<br>Latitude: 13.683377<br>Longitude: 100.499078<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Rat Burana (OB),120 kW,"ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)
IOCharger IOCAW05C 7kW: Type 2",,,193/2 ถ.ราษฎร์บูรณะ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,13.683377,100.499078,PTT,"
            100.499078,13.683377,0
          "
ปตท หจก.วีรชัยหล่มสักเซอร์วิส,Name-EN: PTT Werachai Lomsak Service<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: 239/102 ม.1 ต.ชอนไพร อ.เมืองเพชรบูรณ์ เพชรบูรณ์ 67000<br>Latitude: 16.3870526<br>Longitude: 101.1268843<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Werachai Lomsak Service,120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),,,239/102 ม.1 ต.ชอนไพร อ.เมืองเพชรบูรณ์ เพชรบูรณ์ 67000,16.3870526,101.1268843,PTT,"
            101.1268843,16.3870526,0
          "
