Name,Description,styleUrl,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
PT เขาย้อย 1,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: 95 หมู่ที่2 ตำบลห้วยโรง อำเภอเขาย้อย จังหวัดเพชรบุรี 76140<br>Latitude: 13.314691<br>Longitude: 99.827081<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,95 หมู่ที่2 ตำบลห้วยโรง อำเภอเขาย้อย จังหวัดเพชรบุรี 76140,13.314691,99.827081,EleX,"
            99.827081,13.314691,0
          "
PT บ้านใต้,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: 144 ถนนแสงชูโต ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี 71000<br>Latitude: 14.016689<br>Longitude: 99.534364<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,144 ถนนแสงชูโต ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี 71000,14.016689,99.534364,EleX,"
            99.534364,14.016689,0
          "
PT พยุหะคีรี 2,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: 75 หมู่ที่8 ตำบลม่วงหัก อำเภอพยุหะคีรี จังหวัดนครสวรรค์ 60130  <br>Latitude: 15.397363<br>Longitude: 100.147765<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,75 หมู่ที่8 ตำบลม่วงหัก อำเภอพยุหะคีรี จังหวัดนครสวรรค์ 60130  ,15.397363,100.147765,EleX,"
            100.147765,15.397363,0
          "
PT ปากช่อง 3,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: 172/7 หมู่ที่7 ตำบลหนองน้ำแดง อำเภอปากช่อง จังหวัดนครราชสีมา 30130<br>Latitude: 14.658708<br>Longitude: 101.385312<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,172/7 หมู่ที่7 ตำบลหนองน้ำแดง อำเภอปากช่อง จังหวัดนครราชสีมา 30130,14.658708,101.385312,EleX,"
            101.385312,14.658708,0
          "
PT บางพระ,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: 641/3 ถนนสุขุมวิท ตำบลเหมือง อำเภอเมืองชลบุรี จังหวัดชลบุรี 20130<br>Latitude: 13.247961<br>Longitude: 100.934508<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,641/3 ถนนสุขุมวิท ตำบลเหมือง อำเภอเมืองชลบุรี จังหวัดชลบุรี 20130,13.247961,100.934508,EleX,"
            100.934508,13.247961,0
          "
ตึกผู้ว่าการฯ สำนักงานกลาง กฟผ.,"Power: 50 kW<br>Description: CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW<br>Address: 53 หมู่ 2 ถ.จรัญสนิทวงศ์ ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130<br>Latitude: 13.810481<br>Longitude: 100.506343<br>Provider: EleX",#icon-1899-DB4436-labelson,50 kW,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW",53 หมู่ 2 ถ.จรัญสนิทวงศ์ ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130,13.810481,100.506343,EleX,"
            100.506343,13.810481,0
          "
ศูนย์การเรียนรู้ กฟผ. สำนักงานกลาง,"Power: 90 kW<br>Description: CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW<br>CCS2 90 kW<br>Address: 53 หมู่ 2 ถ.จรัญสนิทวงศ์ ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130<br>Latitude: 13.812466<br>Longitude: 100.511692<br>Provider: EleX",#icon-1899-DB4436-labelson,90 kW,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW
CCS2 90 kW",53 หมู่ 2 ถ.จรัญสนิทวงศ์ ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130,13.812466,100.511692,EleX,"
            100.511692,13.812466,0
          "
โรงไฟฟ้าจะนะ,Power: 90 kW<br>Description: CCS2 90 kW<br>Address: 124/5 ม.1 ต.ป่าชิง อ.จะนะ จ.สงขลา<br>Latitude: 6.949722<br>Longitude: 100.696976<br>Provider: EleX,#icon-1899-DB4436-labelson,90 kW,CCS2 90 kW,124/5 ม.1 ต.ป่าชิง อ.จะนะ จ.สงขลา,6.949722,100.696976,EleX,"
            100.696976,6.949722,0
          "
โรงไฟฟ้าวังน้อย,Power: 120 kW<br>Description: CCS2 90 kW<br>2x CCS2 120 kW (200A)<br>Address: 32 หมู่ 4 ตำบลวังจุฬา อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา<br>Latitude: 14.236698<br>Longitude: 100.777578<br>Provider: EleX,#icon-1899-DB4436-labelson,120 kW,"CCS2 90 kW
2x CCS2 120 kW (200A)",32 หมู่ 4 ตำบลวังจุฬา อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา,14.236698,100.777578,EleX,"
            100.777578,14.236698,0
          "
โรงไฟฟ้าบางปะกง,Power: 90 kW<br>Description: CCS2 90 kW<br>Address: เลขที่4 หมู่6 ต.ท่าข้าม อ.บางปะกง จ.ฉะเชิงเทรา 24130<br>Latitude: 13.495069<br>Longitude: 101.023054<br>Provider: EleX,#icon-1899-DB4436-labelson,90 kW,CCS2 90 kW,เลขที่4 หมู่6 ต.ท่าข้าม อ.บางปะกง จ.ฉะเชิงเทรา 24130,13.495069,101.023054,EleX,"
            101.023054,13.495069,0
          "
