Name,Description,styleUrl,Power,Dealership,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
MG เบส ออโต้ เซลส์ (สาขาพัทยา),Power: <br>Dealership: Dealership<br>Description: <br>Address: 365 หมู่ที่ 3 ตำบลนาจอมเทียน อำเภอสัตหีบ จังหวัดชลบุรี 20250<br>Latitude: 12.793603<br>Longitude: 100.917452<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,365 หมู่ที่ 3 ตำบลนาจอมเทียน อำเภอสัตหีบ จังหวัดชลบุรี 20250,12.793603,100.917452,MG,"
            100.917452,12.793603,0
          "
MG เซควอญ่า,Power: <br>Dealership: Dealership<br>Description: <br>Address: 599 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ 10230<br>Latitude: 13.822372<br>Longitude: 100.679676<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,599 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ 10230,13.822372,100.679676,MG,"
            100.679676,13.822372,0
          "
MG เบส ออโต้ เซลส์ (สาขาแม่โจ้),Power: <br>Dealership: Dealership<br>Description: <br>Address: 555 หมู่ที่ 6 ตำบลหนองจ๊อม อำเภอสันทราย จังหวัดเชียงใหม่ 50210<br>Latitude: 18.85216318<br>Longitude: 99.01422188<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,555 หมู่ที่ 6 ตำบลหนองจ๊อม อำเภอสันทราย จังหวัดเชียงใหม่ 50210,18.85216318,99.01422188,MG,"
            99.01422188,18.85216318,0
          "
MG เบส ออโต้ เซลส์ (สาขาชลบุรี),Power: <br>Dealership: Dealership<br>Description: <br>Address: 191 หมู่ที่ 3 ถนนบายพาส ตำบลบ้านสวน อำเภอเมือง จังหวัดชลบุรี 20000<br>Latitude: 13.3313469<br>Longitude: 100.9817888<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,191 หมู่ที่ 3 ถนนบายพาส ตำบลบ้านสวน อำเภอเมือง จังหวัดชลบุรี 20000,13.3313469,100.9817888,MG,"
            100.9817888,13.3313469,0
          "
MG พรีเมียร์ ออโต้ โมบิล (สาขากาญจนบุรี),Power: <br>Dealership: Dealership<br>Description: <br>Address: 65/7 ถนนแสงชูโต ตำบลท่าล้อ อำเภอท่าม่วง จังหวัดกาญจนบุรี 71110<br>Latitude: 13.9946842<br>Longitude: 99.5594613<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,65/7 ถนนแสงชูโต ตำบลท่าล้อ อำเภอท่าม่วง จังหวัดกาญจนบุรี 71110,13.9946842,99.5594613,MG,"
            99.5594613,13.9946842,0
          "
MG ลักซูรี่ ทุ่งสง,Power: <br>Dealership: Dealership<br>Description: <br>Address: อำเภอทุ่งสง จังหวัดนครศรีธรรมราช<br>Latitude: 8.172660<br>Longitude: 99.640620<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,อำเภอทุ่งสง จังหวัดนครศรีธรรมราช,8.172660,99.640620,MG,"
            99.64062,8.17266,0
          "
MG อนันตภัณฑ์ ออโตเซลส์,Power: <br>Dealership: Dealership<br>Description: <br>Address: 409 หมู่ที่ 3 ตำบลบ้านเกาะ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000<br>Latitude: 15.010854<br>Longitude: 102.12567<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,409 หมู่ที่ 3 ตำบลบ้านเกาะ อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,15.010854,102.12567,MG,"
            102.12567,15.010854,0
          "
MG อนันตภัณฑ์ ออโตเซลส์ (สาขาโชคชัย),Power: <br>Dealership: Dealership<br>Description: <br>Address: 298/1 หมู่ที่2 ถนนโชคชัย-เดชอุดม ตำบลโชคชัย อำเภอโชคชัย จังหวัดนครราชสีมา 30190<br>Latitude: 14.7440258<br>Longitude: 102.1912126<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,298/1 หมู่ที่2 ถนนโชคชัย-เดชอุดม ตำบลโชคชัย อำเภอโชคชัย จังหวัดนครราชสีมา 30190,14.7440258,102.1912126,MG,"
            102.1912126,14.7440258,0
          "
วีจี คาร์ (สาขานครสวรรค์),Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 1351/2 หมู่ 10 ถนนนครสวรรค์-พิษณุโลก ตำบลนครสวรรค์ตก อำเภอเมือง จังหวัด นครสวรรค์ 60000<br>Latitude: 15.700716<br>Longitude: 100.12101<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,1351/2 หมู่ 10 ถนนนครสวรรค์-พิษณุโลก ตำบลนครสวรรค์ตก อำเภอเมือง จังหวัด นครสวรรค์ 60000,15.700716,100.12101,MG,"
            100.12101,15.700716,0
          "
MG ส. อรุณ ออโต้โมบิล,Power: <br>Dealership: Dealership<br>Description: <br>Address: 67/3 หมู่ที่ 7 ถนนพหลโยธิน ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000<br>Latitude: 15.64005<br>Longitude: 100.13326<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,67/3 หมู่ที่ 7 ถนนพหลโยธิน ตำบลกลางแดด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000,15.64005,100.13326,MG,"
            100.13326,15.64005,0
          "
