Name,Description,styleUrl,Power,Address,Latitude,Longitude,Provider,Coordinates
พัทยาใต้,Power: 50 kW<br>Description: 321/1 หมู่ที่ 10 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150  PEA VOLTA พัทยาใต้ #2<br>Latitude: 12.92267895<br>Longitude: 100.88403320<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,321/1 หมู่ที่ 10 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150  PEA VOLTA พัทยาใต้ #2,12.92267895,100.88403320,PEA,"
            100.8840332,12.92267895,0
          "
เขาย้อย,Power: 50 kW<br>Description: 135 หมู่ 4 ถ.เพชรเกษม ต.สระพัง อ.เขาย้อย จ.เพชรบุรี 76140 Tel: 0-3256-2455 Fax: -  PEA VOLTA เขาย้อย<br>Latitude: 13.26557732<br>Longitude: 99.82255554<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,135 หมู่ 4 ถ.เพชรเกษม ต.สระพัง อ.เขาย้อย จ.เพชรบุรี 76140 Tel: 0-3256-2455 Fax: -  PEA VOLTA เขาย้อย,13.26557732,99.82255554,PEA,"
            99.82255554,13.26557732,0
          "
สำนักงานใหญ่,Power: 50 kW<br>Description: 200 ถนนงามวงศ์วาน แขวงลาดยาว เขตจตุจักร จ.กรุงเทพมหานคร 10900 (ปิดให้บริการชั่วคราว วันที่ 16/12/2022 เวลา 13:00 - 14:30 น.) PEA VOLTA สำนักงานใหญ่ #1<br>Latitude: 13.85042763<br>Longitude: 100.55857849<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,200 ถนนงามวงศ์วาน แขวงลาดยาว เขตจตุจักร จ.กรุงเทพมหานคร 10900 (ปิดให้บริการชั่วคราว วันที่ 16/12/2022 เวลา 13:00 - 14:30 น.) PEA VOLTA สำนักงานใหญ่ #1,13.85042763,100.55857849,PEA,"
            100.55857849,13.85042763,0
          "
นครชัยศรี,Power: 50 kW<br>Description: 9 หมู่1 ต.ไทยาวาส อ.นครชัยศรี จ.นครปฐม 73121 Tel: 034-228-716 Fax: - PEA VOLTA นครชัยศรี<br>Latitude: 13.80342865<br>Longitude: 100.18870544<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,9 หมู่1 ต.ไทยาวาส อ.นครชัยศรี จ.นครปฐม 73121 Tel: 034-228-716 Fax: - PEA VOLTA นครชัยศรี,13.80342865,100.18870544,PEA,"
            100.18870544,13.80342865,0
          "
สมุทรสาคร,Power: 50 kW<br>Description: 1062 ถ.วิเชียรโชฏก ต.มหาชัย อ.เมือง จ.สมุทรสาคร 74000 Tel: 0-3442-2818   Fax : - PEA VOLTA สมุทรสาคร<br>Latitude: 13.54332638<br>Longitude: 100.26477051<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,1062 ถ.วิเชียรโชฏก ต.มหาชัย อ.เมือง จ.สมุทรสาคร 74000 Tel: 0-3442-2818   Fax : - PEA VOLTA สมุทรสาคร,13.54332638,100.26477051,PEA,"
            100.26477051,13.54332638,0
          "
บางจาก ชะอำ,Power: 50 kW<br>Description: 555/5 ถ.เพชรเกษม (ชะอำ) ต.เขาใหญ่ อ.ชะอำ จ.เพชรบุรี 76120 PEA VOLTA บางจาก ชะอำ #1<br>Latitude: 12.81742477<br>Longitude: 99.94092560<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,555/5 ถ.เพชรเกษม (ชะอำ) ต.เขาใหญ่ อ.ชะอำ จ.เพชรบุรี 76120 PEA VOLTA บางจาก ชะอำ #1,12.81742477,99.94092560,PEA,"
            99.9409256,12.81742477,0
          "
บางจาก วังมะนาว (ขาออก),Power: 50 kW<br>Description: 3/1 ม.2 ถ.เพชรเกษม ต.ห้วยโรง อ.เขาย้อย จ.เพชรบุรี 76140 PEA VOLTA บางจาก วังมะนาว (ขาออก) #1<br>Latitude: 13.31848145<br>Longitude: 99.82760620<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,3/1 ม.2 ถ.เพชรเกษม ต.ห้วยโรง อ.เขาย้อย จ.เพชรบุรี 76140 PEA VOLTA บางจาก วังมะนาว (ขาออก) #1,13.31848145,99.82760620,PEA,"
            99.8276062,13.31848145,0
          "
บางจาก เมืองกระบี่,Power: 50 kW<br>Description: 48/26 ถ.ศรีพังงา ต.ปากน้ำ อ.เมือง จ.กระบี่ 81000 PEA VOLTA บางจาก เมืองกระบี่ #2<br>Latitude: 8.10309505<br>Longitude: 98.90280151<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,48/26 ถ.ศรีพังงา ต.ปากน้ำ อ.เมือง จ.กระบี่ 81000 PEA VOLTA บางจาก เมืองกระบี่ #2,8.10309505,98.90280151,PEA,"
            98.90280151,8.10309505,0
          "
บางจาก คลองท่อม,Power: 50 kW<br>Description: 154 ม.1 ถ.เพชรเกษม (4) ต.ห้วยน้ำขาว อ.คลองท่อม จ.กระบี่ 81120 PEA VOLTA บางจาก คลองท่อม #1<br>Latitude: 7.87007999<br>Longitude: 99.16378784<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,154 ม.1 ถ.เพชรเกษม (4) ต.ห้วยน้ำขาว อ.คลองท่อม จ.กระบี่ 81120 PEA VOLTA บางจาก คลองท่อม #1,7.87007999,99.16378784,PEA,"
            99.16378784,7.87007999,0
          "
บางจาก บายพาสชลบุรี,Power: 50 kW<br>Description: 99/1 ม.4 ถ.สายอ้อมเมืองชลบุรี ต.หนองไม้แดง อ.เมือง จ.ชลบุรี 20000 PEA VOLTA บางจาก บายพาสชลบุรี #1<br>Latitude: 13.41339302<br>Longitude: 100.99969482<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,99/1 ม.4 ถ.สายอ้อมเมืองชลบุรี ต.หนองไม้แดง อ.เมือง จ.ชลบุรี 20000 PEA VOLTA บางจาก บายพาสชลบุรี #1,13.41339302,100.99969482,PEA,"
            100.99969482,13.41339302,0
          "
บางจาก เมืองพิษณุโลก (ทล.11 กม.228),Power: 50 kW<br>Description: 555 ม.3 ต.ดอนทอง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000 PEA VOLTA บางจาก เมืองพิษณุโลก (ทล.11 กม.228) #1<br>Latitude: 16.85162544<br>Longitude: 100.34738159<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,555 ม.3 ต.ดอนทอง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000 PEA VOLTA บางจาก เมืองพิษณุโลก (ทล.11 กม.228) #1,16.85162544,100.34738159,PEA,"
            100.34738159,16.85162544,0
          "
บางจาก บางปะอิน,Power: 50 kW<br>Description: 59 ม.3 สายเอเชีย ต.บ้านหว้า อ.บางปะอิน จ.พระนครศรีอยุธยา 13160 PEA VOLTA บางจาก บางปะอิน #1<br>Latitude: 14.26578903<br>Longitude: 100.61248016<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,59 ม.3 สายเอเชีย ต.บ้านหว้า อ.บางปะอิน จ.พระนครศรีอยุธยา 13160 PEA VOLTA บางจาก บางปะอิน #1,14.26578903,100.61248016,PEA,"
            100.61248016,14.26578903,0
          "
บางจาก แก่งคอย,Power: 50 kW<br>Description: 94 ม.4 ถ.มิตรภาพ ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี 18110 PEA VOLTA บางจาก แก่งคอย #1<br>Latitude: 14.57350159<br>Longitude: 100.98709869<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,94 ม.4 ถ.มิตรภาพ ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี 18110 PEA VOLTA บางจาก แก่งคอย #1,14.57350159,100.98709869,PEA,"
            100.98709869,14.57350159,0
          "
บางจาก ปากช่อง,Power: 50 kW<br>Description: 199 ม.1 ถ.มิตรภาพ ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130 PEA VOLTA บางจาก ปากช่อง #1<br>Latitude: 14.65200138<br>Longitude: 101.35745239<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,199 ม.1 ถ.มิตรภาพ ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130 PEA VOLTA บางจาก ปากช่อง #1,14.65200138,101.35745239,PEA,"
            101.35745239,14.65200138,0
          "
บางจาก บ้านบึง,Power: 50 kW<br>Description: 105 ม.5 ถ.สายชลบุรี-บ้านบึง ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170 PEA VOLTA บางจาก บ้านบึง #2<br>Latitude: 13.33185959<br>Longitude: 101.08281708<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,105 ม.5 ถ.สายชลบุรี-บ้านบึง ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170 PEA VOLTA บางจาก บ้านบึง #2,13.33185959,101.08281708,PEA,"
            101.08281708,13.33185959,0
          "
พะเยา,Power: 50 kW<br>Description: เลขที่ 159 หมู่ 1 ต.แม่ปืม อ.เมือง จ.พะเยา 56000 PEA VOLTA พะเยา #2<br>Latitude: 19.19921875<br>Longitude: 99.87414551<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,เลขที่ 159 หมู่ 1 ต.แม่ปืม อ.เมือง จ.พะเยา 56000 PEA VOLTA พะเยา #2,19.19921875,99.87414551,PEA,"
            99.87414551,19.19921875,0
          "
แพร่,Power: 50 kW<br>Description: หมู่ 8 189 ต.นาจักร อ.เมือง จ.แพร่ 54000 PEA VOLTA แพร่ #1<br>Latitude: 18.11483765<br>Longitude: 100.14887238<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,หมู่ 8 189 ต.นาจักร อ.เมือง จ.แพร่ 54000 PEA VOLTA แพร่ #1,18.11483765,100.14887238,PEA,"
            100.14887238,18.11483765,0
          "
ร้อยเอ็ด,Power: 50 kW<br>Description: 308 หมู่ 7 ถ.เลี่ยงเมือง ต.ดงลาน อ.เมือง จ.ร้อยเอ็ด 45000 PEA VOLTA ร้อยเอ็ด #2<br>Latitude: 16.04526901<br>Longitude: 103.62712860<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,308 หมู่ 7 ถ.เลี่ยงเมือง ต.ดงลาน อ.เมือง จ.ร้อยเอ็ด 45000 PEA VOLTA ร้อยเอ็ด #2,16.04526901,103.62712860,PEA,"
            103.6271286,16.04526901,0
          "
บางจาก นครราชสีมา (กม. 141),Power: 50 kW<br>Description: 1587/1 ถ.มิตรภาพ ต.บ้านใหม่ อ.เมือง จ.นครราชสีมา 30000 PEA VOLTA บางจาก นครราชสีมา (กม. 141) #1<br>Latitude: 14.95731163<br>Longitude: 102.04100037<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,1587/1 ถ.มิตรภาพ ต.บ้านใหม่ อ.เมือง จ.นครราชสีมา 30000 PEA VOLTA บางจาก นครราชสีมา (กม. 141) #1,14.95731163,102.04100037,PEA,"
            102.04100037,14.95731163,0
          "
บางจาก พุนพิน,Power: 50 kW<br>Description: 85 ม.3 ถ.เอเซีย ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130 PEA VOLTA บางจาก พุนพิน #1<br>Latitude: 9.12692261<br>Longitude: 99.15952301<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,85 ม.3 ถ.เอเซีย ต.หัวเตย อ.พุนพิน จ.สุราษฎร์ธานี 84130 PEA VOLTA บางจาก พุนพิน #1,9.12692261,99.15952301,PEA,"
            99.15952301,9.12692261,0
          "
