Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
กรมส่งเสริมอุตสาหกรรม พระราม 6,Name-EN: <br>Power: 10 kW<br>Description: <br>Address: <br>Latitude: 13.762979<br>Longitude: 100.527844<br>Provider: EVolt,#icon-1899-DB4436-labelson,,10 kW,,,13.762979,100.527844,etc: EVolt,"
            100.527844,13.762979,0
          "
กรมส่งเสริมอุตสาหกรรม กล้วยน้ำไท,Name-EN: <br>Power: 10 kW<br>Description: <br>Address: <br>Latitude: 13.709785<br>Longitude: 100.585818<br>Provider: EVolt,#icon-1899-DB4436-labelson,,10 kW,,,13.709785,100.585818,etc: EVolt,"
            100.585818,13.709785,0
          "
ศูนย์ส่งเสริมอุตสาหกรรม ขอนแก่น,Name-EN: <br>Power: 10 kW<br>Description: <br>Address: <br>Latitude: 16.563125<br>Longitude: 102.822762<br>Provider: EVolt,#icon-1899-DB4436-labelson,,10 kW,,,16.563125,102.822762,etc: EVolt,"
            102.822762,16.563125,0
          "
ศูนย์ส่งเสริมอุตสาหกรรม เชียงใหม่,Name-EN: <br>Power: 10 kW<br>Description: <br>Address: <br>Latitude: 18.791344<br>Longitude: 99.017955<br>Provider: EVolt,#icon-1899-DB4436-labelson,,10 kW,,,18.791344,99.017955,etc: EVolt,"
            99.017955,18.791344,0
          "
66 Tower,Name-EN: <br>Power: 100 kW<br>Description: <br>Address: <br>Latitude: 13.681871<br>Longitude: 100.610011<br>Provider: EVolt,#icon-1899-DB4436-labelson,,100 kW,,,13.681871,100.610011,etc: EVolt,"
            100.610011,13.681871,0
          "
สยาม สแควร์ วัน,Name-EN: <br>Power: 160 kW<br>Description: 6x CCS2<br>Address: <br>Latitude: 13.7441996<br>Longitude: 100.5342088<br>Provider: GWM,#icon-1899-DB4436-labelson,,160 kW,6x CCS2,,13.7441996,100.5342088,etc: GWM,"
            100.5342088,13.7441996,0
          "
GWM แอทยูพาร์ค บางนา,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.6321179<br>Longitude: 100.7153033<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.6321179,100.7153033,etc: GWM,"
            100.7153033,13.6321179,0
          "
GWM มอเตอร์ มอลล์ พระราม 2,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.6610647<br>Longitude: 100.4379089<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.6610647,100.4379089,etc: GWM,"
            100.4379089,13.6610647,0
          "
GWM พระราม 5,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.8237049<br>Longitude: 100.4433511<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.8237049,100.4433511,etc: GWM,"
            100.4433511,13.8237049,0
          "
The American School of Bangkok,Name-EN: <br>Power: 30 kW<br>Description: 1x CCS2<br>Address: <br>Latitude: 13.61364<br>Longitude: 100.72463<br>Provider: EVolt,#icon-1899-DB4436-labelson,,30 kW,1x CCS2,,13.61364,100.72463,etc: EVolt,"
            100.72463,13.61364,0
          "
Topgolf Megacity,Name-EN: <br>Power: 24 kW<br>Description: 1x CCS2<br>Address: <br>Latitude: 13.64344<br>Longitude: 100.67563<br>Provider: EVolt,#icon-1899-DB4436-labelson,,24 kW,1x CCS2,,13.64344,100.67563,etc: EVolt,"
            100.67563,13.64344,0
          "
Volvo Tanasit Distribution,Name-EN: <br>Power: 150 kW<br>Description: <br>Address: <br>Latitude: 16.46295<br>Longitude: 102.77016<br>Provider: EVolt,#icon-1899-DB4436-labelson,,150 kW,,,16.46295,102.77016,etc: EVolt,"
            102.77016,16.46295,0
          "
Volvo Horizon Auto,Name-EN: <br>Power: 150 kW<br>Description: 2x CCS2<br>Address: <br>Latitude: 7.03787<br>Longitude: 100.4593<br>Provider: EVolt,#icon-1899-DB4436-labelson,,150 kW,2x CCS2,,7.03787,100.4593,etc: EVolt,"
            100.4593,7.03787,0
          "
GWM เกรท วัน ออโต้ แจ้งวัฒนะ,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.906405<br>Longitude: 100.5184421<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.906405,100.5184421,etc: GWM,"
            100.5184421,13.906405,0
          "
GWM อมรรัชดา,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.8253065<br>Longitude: 100.5723421<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.8253065,100.5723421,etc: GWM,"
            100.5723421,13.8253065,0
          "
Brio Mall,Name-EN: <br>Power: <br>Description: 2x CCS2<br>Address: <br>Latitude: 13.7861455<br>Longitude: 100.3296899<br>Provider: ,#icon-1787-3949AB-labelson,,,2x CCS2,,13.7861455,100.3296899,etc.,"
            100.3296899,13.7861455,0
          "
KX Knowledge Exchange,Name-EN: <br>Power: 25 kW<br>Description: ชั้น 2<br>Address: <br>Latitude: 13.7207204<br>Longitude: 100.4963168<br>Provider: Haup,#icon-1787-3949AB-labelson,,25 kW,ชั้น 2,,13.7207204,100.4963168,etc: Haup,"
            100.4963168,13.7207204,0
          "
KMUTT หน้าตึกอธิการ,Name-EN: <br>Power: 25 kW<br>Description: <br>Address: <br>Latitude: 13.6514371<br>Longitude: 100.4953504<br>Provider: Haup,#icon-1787-3949AB-labelson,,25 kW,,,13.6514371,100.4953504,etc: Haup,"
            100.4953504,13.6514371,0
          "
Volvo Merck Auto,Name-EN: <br>Power: 100 kW<br>Description: 2x CCS2<br>Address: <br>Latitude: 13.69998<br>Longitude: 100.54545<br>Provider: EVolt,#icon-1899-DB4436-labelson,,100 kW,2x CCS2,,13.69998,100.54545,etc: EVolt,"
            100.54545,13.69998,0
          "
SCG Home บุญถาวร จันทบุรี,Name-EN: <br>Power: 180 kW<br>Description: <br>Address: <br>Latitude: 12.60591<br>Longitude: 102.1341<br>Provider: EVolt,#icon-1899-DB4436-labelson,,180 kW,,,12.60591,102.1341,etc: EVolt,"
            102.1341,12.60591,0
          "
GWM วัน เทพารักษ์,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.611879296099227<br>Longitude: 100.66867957368554<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.611879296099227,100.66867957368554,etc: GWM,"
            100.668679573686,13.6118792960992,0
          "
GWM พระนคร อุดมสุข,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 13.6856259993891<br>Longitude: 100.60964708793885<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,13.6856259993891,100.60964708793885,etc: GWM,"
            100.609647087939,13.6856259993891,0
          "
GWM พระนคร สระบุรี,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 14.463772<br>Longitude: 100.905842<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,14.463772,100.905842,etc: GWM,"
            100.905842,14.463772,0
          "
GWM เอก ระยอง,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 12.711354988358<br>Longitude: 101.2326223827<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,12.711354988358,101.2326223827,etc: GWM,"
            101.2326223827,12.711354988358,0
          "
GWM เอก จันทบุรี ,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 12.602278<br>Longitude: 102.135448<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,12.602278,102.135448,etc: GWM,"
            102.135448,12.602278,0
          "
GWM แองเจิลเวย์ เชียงราย,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 19.875682<br>Longitude: 99.829696<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,19.875682,99.829696,etc: GWM,"
            99.829696,19.875682,0
          "
GWM ซีซีซีออโต้ เชียงใหม่,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 18.726942<br>Longitude: 99.039911<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,18.726942,99.039911,etc: GWM,"
            99.039911,18.726942,0
          "
GWM เคที สุราษฎร์ธานี,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 9.113599<br>Longitude: 99.280487<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,9.113599,99.280487,etc: GWM,"
            99.280487,9.113599,0
          "
GWM ชูเกียรติ นครศรีธรรมราช,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 8.431201003035547<br>Longitude: 99.92199044856311<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,8.431201003035547,99.92199044856311,etc: GWM,"
            99.9219904485631,8.43120100303555,0
          "
GWM ชูเกียรติ หาดใหญ่,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 7.0406525201756756<br>Longitude: 100.46285785972324<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,7.0406525201756756,100.46285785972324,etc: GWM,"
            100.462857859723,7.04065252017568,0
          "
GWM ชูเกียรติ กระบี่,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 8.108411673436915<br>Longitude: 98.93101758898364<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,8.108411673436915,98.93101758898364,etc: GWM,"
            98.9310175889836,8.10841167343692,0
          "
GWM อนุภาษ ภูเก็ต,Name-EN: <br>Power: <br>Description: <br>Address: <br>Latitude: 7.977759293998356<br>Longitude: 98.36130662598522<br>Provider: GWM,#icon-1899-DB4436-labelson,,,,,7.977759293998356,98.36130662598522,etc: GWM,"
            98.3613066259852,7.97775929399836,0
          "
